STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,month,day,hour,HLY-TEMP-NORMAL,meas_flag_HLY-TEMP-NORMAL,comp_flag_HLY-TEMP-NORMAL,years_HLY-TEMP-NORMAL,HLY-TEMP-10PCTL,meas_flag_HLY-TEMP-10PCTL,comp_flag_HLY-TEMP-10PCTL,years_HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,meas_flag_HLY-TEMP-90PCTL,comp_flag_HLY-TEMP-90PCTL,years_HLY-TEMP-90PCTL,HLY-DEWP-NORMAL,meas_flag_HLY-DEWP-NORMAL,comp_flag_HLY-DEWP-NORMAL,years_HLY-DEWP-NORMAL,HLY-DEWP-10PCTL,meas_flag_HLY-DEWP-10PCTL,comp_flag_HLY-DEWP-10PCTL,years_HLY-DEWP-10PCTL,HLY-DEWP-90PCTL,meas_flag_HLY-DEWP-90PCTL,comp_flag_HLY-DEWP-90PCTL,years_HLY-DEWP-90PCTL,HLY-PRES-NORMAL,meas_flag_HLY-PRES-NORMAL,comp_flag_HLY-PRES-NORMAL,years_HLY-PRES-NORMAL,HLY-PRES-10PCTL,meas_flag_HLY-PRES-10PCTL,comp_flag_HLY-PRES-10PCTL,years_HLY-PRES-10PCTL,HLY-PRES-90PCTL,meas_flag_HLY-PRES-90PCTL,comp_flag_HLY-PRES-90PCTL,years_HLY-PRES-90PCTL,HLY-CLDH-NORMAL,meas_flag_HLY-CLDH-NORMAL,comp_flag_HLY-CLDH-NORMAL,years_HLY-CLDH-NORMAL,HLY-HTDH-NORMAL,meas_flag_HLY-HTDH-NORMAL,comp_flag_HLY-HTDH-NORMAL,years_HLY-HTDH-NORMAL,HLY-CLOD-PCTCLR,meas_flag_HLY-CLOD-PCTCLR,comp_flag_HLY-CLOD-PCTCLR,years_HLY-CLOD-PCTCLR,HLY-CLOD-PCTFEW,meas_flag_HLY-CLOD-PCTFEW,comp_flag_HLY-CLOD-PCTFEW,years_HLY-CLOD-PCTFEW,HLY-CLOD-PCTSCT,meas_flag_HLY-CLOD-PCTSCT,comp_flag_HLY-CLOD-PCTSCT,years_HLY-CLOD-PCTSCT,HLY-CLOD-PCTBKN,meas_flag_HLY-CLOD-PCTBKN,comp_flag_HLY-CLOD-PCTBKN,years_HLY-CLOD-PCTBKN,HLY-CLOD-PCTOVC,meas_flag_HLY-CLOD-PCTOVC,comp_flag_HLY-CLOD-PCTOVC,years_HLY-CLOD-PCTOVC,HLY-HIDX-NORMAL,meas_flag_HLY-HIDX-NORMAL,comp_flag_HLY-HIDX-NORMAL,years_HLY-HIDX-NORMAL,HLY-WCHL-NORMAL,meas_flag_HLY-WCHL-NORMAL,comp_flag_HLY-WCHL-NORMAL,years_HLY-WCHL-NORMAL,HLY-WIND-AVGSPD,meas_flag_HLY-WIND-AVGSPD,comp_flag_HLY-WIND-AVGSPD,years_HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,meas_flag_HLY-WIND-PCTCLM,comp_flag_HLY-WIND-PCTCLM,years_HLY-WIND-PCTCLM,HLY-WIND-VCTDIR,meas_flag_HLY-WIND-VCTDIR,comp_flag_HLY-WIND-VCTDIR,years_HLY-WIND-VCTDIR,HLY-WIND-VCTSPD,meas_flag_HLY-WIND-VCTSPD,comp_flag_HLY-WIND-VCTSPD,years_HLY-WIND-VCTSPD,HLY-WIND-1STDIR,meas_flag_HLY-WIND-1STDIR,comp_flag_HLY-WIND-1STDIR,years_HLY-WIND-1STDIR,HLY-WIND-1STPCT,meas_flag_HLY-WIND-1STPCT,comp_flag_HLY-WIND-1STPCT,years_HLY-WIND-1STPCT,HLY-WIND-2NDDIR,meas_flag_HLY-WIND-2NDDIR,comp_flag_HLY-WIND-2NDDIR,years_HLY-WIND-2NDDIR,HLY-WIND-2NDPCT,meas_flag_HLY-WIND-2NDPCT,comp_flag_HLY-WIND-2NDPCT,years_HLY-WIND-2NDPCT
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T00:00:00,1,1,0,81, ,S,29,77.9, ,S,29,84, ,S,29,76, ,S,29,73.6, ,S,29,78.4, ,S,29,1008.8, ,S,28,1006.1, ,S,28,1011.5, ,S,28,16, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,87.5, ,S,30,81, ,S,30,8.2, ,S,30,12.9, ,S,30,56, ,S,30,4.1, ,S,30,3, ,S,30,22.5, ,S,30,8, ,S,30,19, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T01:00:00,1,1,1,80.7, ,S,29,77.2, ,S,29,83.7, ,S,29,75.9, ,S,29,73.4, ,S,29,78.3, ,S,29,1008.1, ,S,28,1005.2, ,S,28,1010.8, ,S,28,15.7, ,S,29,0, ,S,29,0.9, ,S,30,5.1, ,S,30,12.9, ,S,30,38.1, ,S,30,43, ,S,30,87, ,S,30,80.7, ,S,30,7.9, ,S,30,13.6, ,S,30,56, ,S,30,3.6, ,S,30,8, ,S,30,22.7, ,S,30,3, ,S,30,17.4, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T02:00:00,1,1,2,80.5, ,S,29,77, ,S,29,84, ,S,29,75.8, ,S,29,73.4, ,S,29,78.1, ,S,29,1007.5, ,S,28,1004.7, ,S,28,1010, ,S,28,15.5, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,86.5, ,S,30,80.5, ,S,30,7.8, ,S,30,12.9, ,S,30,59, ,S,30,3.8, ,S,30,8, ,S,30,21.6, ,S,30,3, ,S,30,19.4, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T03:00:00,1,1,3,80.3, ,S,29,77, ,S,29,83.8, ,S,29,75.7, ,S,29,73.4, ,S,29,78.3, ,S,29,1007.1, ,S,28,1004.4, ,S,28,1009.7, ,S,28,15.3, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,86, ,S,30,80.3, ,S,30,7.8, ,S,30,14.3, ,S,30,53, ,S,30,3.5, ,S,30,8, ,S,30,26.1, ,S,30,3, ,S,30,19.3, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T04:00:00,1,1,4,80.1, ,S,29,77, ,S,29,83.3, ,S,29,75.6, ,S,29,73, ,S,29,78.1, ,S,29,1007, ,S,28,1004.2, ,S,28,1009.5, ,S,28,15.1, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,85.7, ,S,30,80.1, ,S,30,7.9, ,S,30,12.9, ,S,30,58, ,S,30,3.6, ,S,30,8, ,S,30,25.8, ,S,30,3, ,S,30,19.3, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T05:00:00,1,1,5,80, ,S,29,76.6, ,S,29,83.1, ,S,29,75.6, ,S,29,72.9, ,S,29,78.1, ,S,29,1007.2, ,S,28,1004.4, ,S,28,1009.8, ,S,28,15, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,85.5, ,S,30,80, ,S,30,7.8, ,S,30,15.4, ,S,30,51, ,S,29,3.5, ,S,29,8, ,S,29,27.2, ,S,29,3, ,S,29,18.5, ,S,29
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T06:00:00,1,1,6,80, ,S,29,77, ,S,29,83.3, ,S,29,75.6, ,S,29,73, ,S,29,78.1, ,S,29,1007.8, ,S,28,1005.1, ,S,28,1010.3, ,S,28,15, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,85.4, ,S,30,80, ,S,30,7.8, ,S,30,12.9, ,S,30,53, ,S,29,3.5, ,S,29,8, ,S,29,24.3, ,S,29,3, ,S,29,18.1, ,S,29
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T07:00:00,1,1,7,81.2, ,S,29,78.1, ,S,29,84, ,S,29,76.2, ,S,29,73.8, ,S,29,78.6, ,S,29,1008.5, ,S,28,1005.9, ,S,28,1011.2, ,S,28,16.2, ,S,29,0, ,S,29,1, ,S,30,2.9, ,S,30,13.3, ,S,30,38.2, ,S,30,44.7, ,S,30,88.1, ,S,30,81.2, ,S,30,7.8, ,S,30,13.1, ,S,30,61, ,S,30,3.6, ,S,30,8, ,S,30,20.5, ,S,30,3, ,S,30,18.2, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T08:00:00,1,1,8,83.3, ,S,29,80.1, ,S,29,86, ,S,29,76.8, ,S,29,74.1, ,S,29,79, ,S,29,1008.8, ,S,28,1005.9, ,S,28,1011.5, ,S,28,18.3, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,92.4, ,S,30,83.3, ,S,30,8.9, ,S,30,9.2, ,S,30,67, ,S,30,5, ,S,30,3, ,S,30,26.8, ,S,30,2, ,S,30,19.6, ,S,30
AQW00061705,"PAGO PAGO WSO AP, AS AQ",-14.3306,-170.7136,3.7,01-01T09:00:00,1,1,9,84.4, ,S,29,80.6, ,S,29,87.6, ,S,29,76.9, ,S,29,74.3, ,S,29,79.7, ,S,29,1008.9, ,S,28,1006.1, ,S,28,1011.7, ,S,28,19.4, ,S,29,0, ,S,29,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,-9999,M, ,0,94.5, ,S,30,84.4, ,S,30,10.2, ,S,30,3.2, ,S,30,67, ,S,30,5.9, ,S,30,3, ,S,30,35, ,S,30,2, ,S,30,17.9, ,S,30
